CITY ID,CITY NAME,COUNTRY ID,COUNTRY NAME,STATE ID,STATE NAME,SYNONYMS
1318388567,Mahalah,8,Saudi Arabia,2121,Al Aridah,"المحله, المحلة, mahalah, al muhalah"
124822422,Shaybah,8,Saudi Arabia,99,Eastern Province,"الشيبة, shaybah, الشيبه"
7623,Julayjilah,8,Saudi Arabia,99,Eastern Province,"جليلجله, جليجلة, julayjilah"
7652,Ar Rass,8,Saudi Arabia,2060,Ar Rass,"al rass, الرس, ar rass, alrass, al-rass, rass, ar rass"
7747,Al Bijadyah,8,Saudi Arabia,2013,Ad Duwadimi,"البجادية, al bijadyah البجاديه, al bijadyah, bijadiyah, al bijadiyah"
410133072,Um Saad,8,Saudi Arabia,2118,Sabya,"أم سعد, ام سعد, um saad, umm saed, ام سعد"
692313006,As Samuriyah,8,Saudi Arabia,2062,Dariyah,"الصمعورية, as samuriyah, as sam'uriyah, الصمعوريه, al sam'uriyah, alsam'uriyah, al-sam'uriyah, as sum'uriyah"
200905861,Al Mawain,8,Saudi Arabia,96,Asir Region,"al-mawain, الماوين, al mawain, almawain"
900433045,Al Rumailah,8,Saudi Arabia,2072,Al Ahsa,"الرمليه, الرميلة, al rumailah, ar rumaylah"
7851,Khasawyah,8,Saudi Arabia,92,Riyadh Region,"khasawyah, umm khashabah, العشوة, العشوه, al-ashwah"
1696918980,Asuwayq,8,Saudi Arabia,94,Al Madinah Region,"asuwayq, السويق"
273807752,Jabal Umm al Ru'us,8,Saudi Arabia,99,Eastern Province,"جبل أم الرؤوس, jabal umm al ru'us, jabal umm ar ru'us"
91015328,Qusaiba,8,Saudi Arabia,2058,Qassim Principality,"qusaybaa, qusayba, qusaiba, قصيباء, قصيباء - امارة منطقة القصيم"
367347315,Al Khaledah,8,Saudi Arabia,103,Najran Region,"al khaledah, الخالده, الخالدة"
551545447,Al Araq,8,Saudi Arabia,2126,Fayfa,"al araq عتود, al araq, al araq, العرق"
481101235,ابو راكة,8,Saudi Arabia,93,Makkah Region,"ابو راكه, abo rakh, ابو راكة, abu rakh"
7849,Khairan,8,Saudi Arabia,2017,As Sulayyil,"khairan, خيران, khayran"
114744788,Al Kamil,8,Saudi Arabia,2037,Al Kamil,"al kamil, kamil, alkamil, al-kamil, الكامل, al kamil"
796265915,جودة,8,Saudi Arabia,2072,Al Ahsa,"جوده, جودة, judah, juduh"
448196681,At Tarif Al Jadid,8,Saudi Arabia,92,Riyadh Region,"at tarif al jadid, al jadid, الطريف الجديد"
1176572168,Al-Khashabeya,8,Saudi Arabia,2128,Abu Arish,"الخشابية, الخشابيه, al-khashabeya, al khashabiyah, al khashabi, alkhashabih"
200083521,Al Rabiyah,8,Saudi Arabia,99,Eastern Province,"al rabiyah الرابيه, الرابية, al rabiyah"
438351555,Bani Malik,8,Saudi Arabia,96,Asir Region,"bani malik, بني مالك, bani malek"
7850,Khamaseen,8,Saudi Arabia,92,Riyadh Region,"khamaseen, الخماسين, khamasin"
1740793212,Al-Khobh,8,Saudi Arabia,101,Jizan Region,"al-khobh, al khobh, الخوبه, الخوبة, al khubah, alkhubah, al-khubah"
7815,Duhknah,8,Saudi Arabia,2060,Ar Rass,"دخنة, duhknah, dukhnah, دخنه"
7820,Qilwah,8,Saudi Arabia,2143,Qilwah,"قلوة, qilwah, القلوه, gilwa"
7801,Bariq,8,Saudi Arabia,2093,Bariq,"بارق, bariq, bareq"
7910,Samtah,8,Saudi Arabia,2124,Samtah,"صامطة, samtah, samitah, صامطه"
30110095,السودة,8,Saudi Arabia,93,Makkah Region,"al soudah, السودة"
7573,shokhaib,8,Saudi Arabia,92,Riyadh Region,"shokhaib, شخيب, حي شخيب"
1328066457,Thurayban,8,Saudi Arabia,93,Makkah Region,"ثريبان, thurayban"
7840,Huraymila,8,Saudi Arabia,2023,Huraymila,"حريملاء, huraymila, حريملا, huraymala"
